id,avaliacao_id,grupo,dominio,score,categoria,criado_em
1,10004,1,Demandas no Trabalho,68.75,alto,2026-02-10 12:39:16.476283
2,10004,2,Organiza├º├úo e Conte├║do do Trabalho,81.25,alto,2026-02-10 12:39:16.728563
3,10004,3,Rela├º├Áes Sociais e Lideran├ºa,70.83,alto,2026-02-10 12:39:16.962587
4,10004,4,Interface Trabalho-Indiv├¡duo,81.25,alto,2026-02-10 12:39:17.197026
5,10004,5,Valores Organizacionais,66.67,alto,2026-02-10 12:39:17.431558
6,10004,6,Tra├ºos de Personalidade,75.00,alto,2026-02-10 12:39:17.666156
7,10004,7,Sa├║de e Bem-Estar,66.67,alto,2026-02-10 12:39:17.899844
8,10004,8,Comportamentos Ofensivos,83.33,alto,2026-02-10 12:39:18.134272
9,10004,9,Comportamento de Jogo,87.50,alto,2026-02-10 12:39:18.368264
10,10004,10,Endividamento Financeiro,93.75,alto,2026-02-10 12:39:18.60169
11,10005,1,Demandas no Trabalho,68.75,alto,2026-02-10 14:03:43.243954
12,10005,2,Organiza├º├úo e Conte├║do do Trabalho,81.25,alto,2026-02-10 14:03:43.488917
13,10005,3,Rela├º├Áes Sociais e Lideran├ºa,58.33,medio,2026-02-10 14:03:43.747922
14,10005,4,Interface Trabalho-Indiv├¡duo,18.75,baixo,2026-02-10 14:03:44.005986
15,10005,5,Valores Organizacionais,50.00,medio,2026-02-10 14:03:44.256209
16,10005,6,Tra├ºos de Personalidade,50.00,medio,2026-02-10 14:03:44.499191
17,10005,7,Sa├║de e Bem-Estar,50.00,medio,2026-02-10 14:03:44.74271
18,10005,8,Comportamentos Ofensivos,50.00,medio,2026-02-10 14:03:44.991605
19,10005,9,Comportamento de Jogo,6.25,baixo,2026-02-10 14:03:45.237957
20,10005,10,Endividamento Financeiro,56.25,medio,2026-02-10 14:03:45.490208
31,10010,1,Demandas no Trabalho,75.00,alto,2026-02-10 15:59:09.685745
32,10010,2,Organiza├º├úo e Conte├║do do Trabalho,87.50,alto,2026-02-10 15:59:09.952456
33,10010,3,Rela├º├Áes Sociais e Lideran├ºa,62.50,medio,2026-02-10 15:59:10.188316
34,10010,4,Interface Trabalho-Indiv├¡duo,75.00,alto,2026-02-10 15:59:10.424043
35,10010,5,Valores Organizacionais,75.00,alto,2026-02-10 15:59:10.659029
36,10010,6,Tra├ºos de Personalidade,75.00,alto,2026-02-10 15:59:10.895579
37,10010,7,Sa├║de e Bem-Estar,91.67,alto,2026-02-10 15:59:11.13178
38,10010,8,Comportamentos Ofensivos,50.00,medio,2026-02-10 15:59:11.366763
39,10010,9,Comportamento de Jogo,75.00,alto,2026-02-10 15:59:11.603479
40,10010,10,Endividamento Financeiro,81.25,alto,2026-02-10 15:59:11.837868
61,10011,1,Demandas no Trabalho,75.00,alto,2026-02-10 16:29:35.288036
62,10011,2,Organiza├º├úo e Conte├║do do Trabalho,25.00,baixo,2026-02-10 16:29:35.288036
63,10011,3,Rela├º├Áes Sociais e Lideran├ºa,33.33,medio,2026-02-10 16:29:35.288036
64,10011,4,Interface Trabalho-Indiv├¡duo,43.75,medio,2026-02-10 16:29:35.288036
65,10011,5,Valores Organizacionais,50.00,medio,2026-02-10 16:29:35.288036
66,10011,6,Tra├ºos de Personalidade,50.00,medio,2026-02-10 16:29:35.288036
67,10011,7,Sa├║de e Bem-Estar,41.67,medio,2026-02-10 16:29:35.288036
68,10011,8,Comportamentos Ofensivos,41.67,medio,2026-02-10 16:29:35.288036
69,10011,9,Comportamento de Jogo,50.00,medio,2026-02-10 16:29:35.288036
70,10011,10,Endividamento Financeiro,62.50,medio,2026-02-10 16:29:35.288036
71,10006,1,Demandas no Trabalho,62.50,medio,2026-02-10 16:39:11.716723
72,10006,2,Organiza├º├úo e Conte├║do do Trabalho,68.75,alto,2026-02-10 16:39:11.716723
73,10006,3,Rela├º├Áes Sociais e Lideran├ºa,41.67,medio,2026-02-10 16:39:11.716723
74,10006,4,Interface Trabalho-Indiv├¡duo,0.00,baixo,2026-02-10 16:39:11.716723
75,10006,5,Valores Organizacionais,41.67,medio,2026-02-10 16:39:11.716723
76,10006,6,Tra├ºos de Personalidade,25.00,baixo,2026-02-10 16:39:11.716723
77,10006,7,Sa├║de e Bem-Estar,25.00,baixo,2026-02-10 16:39:11.716723
78,10006,8,Comportamentos Ofensivos,25.00,baixo,2026-02-10 16:39:11.716723
79,10006,9,Comportamento de Jogo,25.00,baixo,2026-02-10 16:39:11.716723
80,10006,10,Endividamento Financeiro,25.00,baixo,2026-02-10 16:39:11.716723
81,10007,1,Demandas no Trabalho,31.25,baixo,2026-02-10 16:53:16.783516
82,10007,2,Organiza├º├úo e Conte├║do do Trabalho,50.00,medio,2026-02-10 16:53:16.783516
83,10007,3,Rela├º├Áes Sociais e Lideran├ºa,54.17,medio,2026-02-10 16:53:16.783516
84,10007,4,Interface Trabalho-Indiv├¡duo,43.75,medio,2026-02-10 16:53:16.783516
85,10007,5,Valores Organizacionais,41.67,medio,2026-02-10 16:53:16.783516
86,10007,6,Tra├ºos de Personalidade,25.00,baixo,2026-02-10 16:53:16.783516
87,10007,7,Sa├║de e Bem-Estar,33.33,medio,2026-02-10 16:53:16.783516
88,10007,8,Comportamentos Ofensivos,58.33,medio,2026-02-10 16:53:16.783516
89,10007,9,Comportamento de Jogo,75.00,alto,2026-02-10 16:53:16.783516
90,10007,10,Endividamento Financeiro,56.25,medio,2026-02-10 16:53:16.783516
91,10013,1,Demandas no Trabalho,50.00,medio,2026-02-11 01:12:17.053789
92,10013,2,Organiza├º├úo e Conte├║do do Trabalho,75.00,alto,2026-02-11 01:12:17.053789
93,10013,3,Rela├º├Áes Sociais e Lideran├ºa,75.00,alto,2026-02-11 01:12:17.053789
94,10013,4,Interface Trabalho-Indiv├¡duo,68.75,alto,2026-02-11 01:12:17.053789
95,10013,5,Valores Organizacionais,33.33,medio,2026-02-11 01:12:17.053789
96,10013,6,Tra├ºos de Personalidade,75.00,alto,2026-02-11 01:12:17.053789
97,10013,7,Sa├║de e Bem-Estar,66.67,alto,2026-02-11 01:12:17.053789
98,10013,8,Comportamentos Ofensivos,50.00,medio,2026-02-11 01:12:17.053789
99,10013,9,Comportamento de Jogo,68.75,alto,2026-02-11 01:12:17.053789
100,10013,10,Endividamento Financeiro,25.00,baixo,2026-02-11 01:12:17.053789
101,10012,1,Demandas no Trabalho,68.75,alto,2026-02-11 01:14:43.757296
102,10012,2,Organiza├º├úo e Conte├║do do Trabalho,68.75,alto,2026-02-11 01:14:43.757296
