                  indexname                  |         tablename         
---------------------------------------------+---------------------------
 _migration_issues_pkey                      | _migration_issues
 analise_estatistica_pkey                    | analise_estatistica
 audit_access_denied_pkey                    | audit_access_denied
 audit_logs_pkey                             | audit_logs
 auditoria_geral_pkey                        | auditoria_geral
 auditoria_laudos_pkey                       | auditoria_laudos
 auditoria_pkey                              | auditoria
 auditoria_recibos_pkey                      | auditoria_recibos
 avaliacao_resets_pkey                       | avaliacao_resets
 avaliacoes_pkey                             | avaliacoes
 clinica_configuracoes_pkey                  | clinica_configuracoes
 clinicas_cnpj_key                           | clinicas
 clinicas_empresas_pkey                      | clinicas_empresas
 clinicas_pkey                               | clinicas
 clinicas_senhas_clinica_cpf_unique          | clinicas_senhas
 clinicas_senhas_cpf_key                     | clinicas_senhas
 clinicas_senhas_pkey                        | clinicas_senhas
 contratacao_personalizada_pkey              | contratacao_personalizada
 contratantes_cnpj_unique                    | entidades
 contratantes_email_unique                   | entidades
 contratantes_pkey                           | entidades
 contratantes_responsavel_cpf_unique         | entidades
 contratantes_senhas_contratante_cpf_unique  | entidades_senhas
 contratantes_senhas_cpf_key                 | entidades_senhas
 contratantes_senhas_pkey                    | entidades_senhas
 contratos_pkey                              | contratos
 contratos_planos_pkey                       | contratos_planos
 emissao_queue_pkey                          | emissao_queue
 empresas_clientes_cnpj_key                  | empresas_clientes
 empresas_clientes_pkey                      | empresas_clientes
 fila_emissao_lote_id_unique                 | _deprecated_fila_emissao
 fila_emissao_pkey                           | _deprecated_fila_emissao
 fila_emissao_pkey1                          | fila_emissao
 funcionarios_clinicas_pkey                  | funcionarios_clinicas
 funcionarios_clinicas_unique                | funcionarios_clinicas
 funcionarios_cpf_key                        | funcionarios
 funcionarios_entidades_pkey                 | funcionarios_entidades
 funcionarios_entidades_unique               | funcionarios_entidades
 funcionarios_matricula_key                  | funcionarios
 funcionarios_pkey                           | funcionarios
 idx_analise_estatistica_avaliacao           | analise_estatistica
 idx_audit_denied_created_at                 | audit_access_denied
 idx_audit_denied_resource                   | audit_access_denied
 idx_audit_denied_user_cpf                   | audit_access_denied
 idx_audit_logs_action                       | audit_logs
 idx_audit_logs_clinica_id                   | audit_logs
 idx_audit_logs_contratante_id               | audit_logs
 idx_audit_logs_created_at                   | audit_logs
 idx_audit_logs_resource                     | audit_logs
 idx_audit_logs_system_actions               | audit_logs
 idx_audit_logs_user_cpf                     | audit_logs
 idx_auditoria_acao                          | auditoria
