 schemaname |               tablename                | row_count 
------------+----------------------------------------+-----------
 public     | audit_logs                             |       123
 public     | role_permissions                       |        71
 public     | permissions                            |        47
 public     | auditoria                              |        43
 public     | respostas                              |        37
 public     | notificacoes                           |        27
 public     | migration_guidelines                   |        24
 public     | resultados                             |        10
 public     | contratos                              |        10
 public     | _backup_contratantes_senhas_audit      |         9
 public     | notificacoes_traducoes                 |         9
 public     | funcionarios                           |         9
 public     | contratacao_personalizada              |         5
 public     | entidades                              |         5
 public     | usuarios                               |         5
 public     | roles                                  |         5
 public     | funcionarios_entidades                 |         4
 public     | pagamentos                             |         3
 public     | avaliacoes                             |         3
 public     | entidades_senhas                       |         2
 public     | empresas_clientes                      |         2
 public     | lote_id_allocator                      |         2
 public     | funcionarios_clinicas                  |         2
 public     | templates_contrato                     |         1
 public     | clinicas_senhas                        |         1
 public     | lotes_avaliacao                        |         1
 public     | laudos                                 |         1
 public     | clinicas                               |         1
 public     | planos                                 |         1
 public     | laudo_downloads                        |         0
 public     | _migration_issues                      |         0
 public     | analise_estatistica                    |         0
 public     | audit_access_denied                    |         0
 public     | auditoria_geral                        |         0
 public     | auditoria_laudos                       |         0
 public     | auditoria_recibos                      |         0
 public     | avaliacao_resets                       |         0
 public     | clinica_configuracoes                  |         0
 public     | clinicas_empresas                      |         0
 public     | contratos_planos                       |         0
 public     | emissao_queue                          |         0
 public     | fila_emissao                           |         0
 public     | funcionarios_backup_gestores_final_400 |         0
 public     | laudo_arquivos_remotos                 |         0
 public     | _deprecated_fila_emissao               |         0
 public     | laudo_generation_jobs                  |         0
 public     | logs_admin                             |         0
 public     | mfa_codes                              |         0
 public     | notificacoes_admin                     |         0
 public     | payment_links                          |         0
 public     | pdf_jobs                               |         0
 public     | policy_expression_backups              |         0
 public     | questao_condicoes                      |         0
 public     | recibos                                |         0
 public     | relatorio_templates                    |         0
 public     | session_logs                           |         0
 public     | tokens_retomada_pagamento              |         0
 public     | vw_recibos_completos_mat               |         0
(58 linhas)

