                             Lista de relações
 Esquema |                  Nome                  |  Tipo  |     Dono     
---------+----------------------------------------+--------+--------------
 public  | _backup_contratantes_senhas_audit      | tabela | neondb_owner
 public  | _deprecated_fila_emissao               | tabela | neondb_owner
 public  | _migration_issues                      | tabela | neondb_owner
 public  | analise_estatistica                    | tabela | neondb_owner
 public  | audit_access_denied                    | tabela | neondb_owner
 public  | audit_logs                             | tabela | neondb_owner
 public  | auditoria                              | tabela | neondb_owner
 public  | auditoria_geral                        | tabela | neondb_owner
 public  | auditoria_laudos                       | tabela | neondb_owner
 public  | auditoria_recibos                      | tabela | neondb_owner
 public  | avaliacao_resets                       | tabela | neondb_owner
 public  | avaliacoes                             | tabela | neondb_owner
 public  | clinica_configuracoes                  | tabela | neondb_owner
 public  | clinicas                               | tabela | neondb_owner
 public  | clinicas_empresas                      | tabela | neondb_owner
 public  | clinicas_senhas                        | tabela | neondb_owner
 public  | contratacao_personalizada              | tabela | neondb_owner
 public  | contratos                              | tabela | neondb_owner
 public  | contratos_planos                       | tabela | neondb_owner
 public  | emissao_queue                          | tabela | neondb_owner
 public  | empresas_clientes                      | tabela | neondb_owner
 public  | entidades                              | tabela | neondb_owner
 public  | entidades_senhas                       | tabela | neondb_owner
 public  | fila_emissao                           | tabela | neondb_owner
 public  | funcionarios                           | tabela | neondb_owner
 public  | funcionarios_backup_gestores_final_400 | tabela | neondb_owner
 public  | funcionarios_clinicas                  | tabela | neondb_owner
 public  | funcionarios_entidades                 | tabela | neondb_owner
 public  | laudo_arquivos_remotos                 | tabela | neondb_owner
 public  | laudo_downloads                        | tabela | neondb_owner
 public  | laudo_generation_jobs                  | tabela | neondb_owner
 public  | laudos                                 | tabela | neondb_owner
 public  | logs_admin                             | tabela | neondb_owner
 public  | lote_id_allocator                      | tabela | neondb_owner
 public  | lotes_avaliacao                        | tabela | neondb_owner
 public  | mfa_codes                              | tabela | neondb_owner
 public  | migration_guidelines                   | tabela | neondb_owner
 public  | notificacoes                           | tabela | neondb_owner
 public  | notificacoes_admin                     | tabela | neondb_owner
 public  | notificacoes_traducoes                 | tabela | neondb_owner
 public  | pagamentos                             | tabela | neondb_owner
 public  | payment_links                          | tabela | neondb_owner
 public  | pdf_jobs                               | tabela | neondb_owner
 public  | permissions                            | tabela | neondb_owner
 public  | planos                                 | tabela | neondb_owner
 public  | policy_expression_backups              | tabela | neondb_owner
 public  | questao_condicoes                      | tabela | neondb_owner
 public  | recibos                                | tabela | neondb_owner
 public  | relatorio_templates                    | tabela | neondb_owner
 public  | respostas                              | tabela | neondb_owner
 public  | resultados                             | tabela | neondb_owner
 public  | role_permissions                       | tabela | neondb_owner
 public  | roles                                  | tabela | neondb_owner
 public  | session_logs                           | tabela | neondb_owner
 public  | templates_contrato                     | tabela | neondb_owner
 public  | tokens_retomada_pagamento              | tabela | neondb_owner
 public  | usuarios                               | tabela | neondb_owner
(57 linhas)

