                       tgname                       |       table_name       | tgenabled 
----------------------------------------------------+------------------------+-----------
 audit_avaliacoes                                   | avaliacoes             | O
 audit_empresas_clientes                            | empresas_clientes      | O
 audit_funcionarios                                 | funcionarios           | O
 audit_laudos                                       | laudos                 | O
 audit_lotes_avaliacao                              | lotes_avaliacao        | O
 enforce_laudo_immutability                         | laudos                 | O
 prevent_avaliacao_delete_after_emission            | avaliacoes             | O
 prevent_avaliacao_update_after_emission            | avaliacoes             | O
 prevent_lote_update_after_emission                 | lotes_avaliacao        | O
 tr_contratantes_sync_status_ativa_personalizado    | entidades              | O
 tr_contratantes_sync_status_ativa_robust           | entidades              | O
 trg_audit_laudo_creation                           | laudos                 | O
 trg_audit_lote_status                              | lotes_avaliacao        | O
 trg_clinicas_senhas_updated_at                     | clinicas_senhas        | O
 trg_contratantes_senhas_updated_at                 | entidades_senhas       | O
 trg_contratantes_updated_at                        | entidades              | O
 trg_enforce_laudo_id_equals_lote                   | laudos                 | O
 trg_gerar_numero_recibo                            | recibos                | O
 trg_immutable_laudo                                | laudos                 | O
 trg_immutable_lote                                 | lotes_avaliacao        | O
 trg_laudo_jobs_updated_at                          | laudo_generation_jobs  | O
 trg_notificacoes_admin_updated                     | notificacoes_admin     | O
 trg_pdf_jobs_update_timestamp                      | pdf_jobs               | O
 trg_prevent_contratante_emissor                    | entidades_senhas       | O
 trg_prevent_gestor_emissor                         | funcionarios           | O
 trg_prevent_laudo_lote_id_change                   | laudos                 | O
 trg_protect_avaliacao_after_emit                   | avaliacoes             | O
 trg_protect_lote_after_emit                        | lotes_avaliacao        | O
 trg_protect_senhas                                 | entidades_senhas       | O
 trg_protect_senhas                                 | clinicas_senhas        | O
 trg_recalc_lote_on_avaliacao_update                | avaliacoes             | O
 trg_recibos_atualizar_data                         | recibos                | O
 trg_recibos_criar_pdf_job                          | recibos                | O
 trg_registrar_solicitacao_emissao                  | lotes_avaliacao        | O
 trg_reject_prohibited_roles                        | funcionarios           | O
 trg_reservar_id_laudo_on_lote_insert               | lotes_avaliacao        | O
 trg_respostas_set_questao                          | respostas              | O
 trg_usuarios_updated_at                            | usuarios               | O
 trg_validar_laudo_emitido                          | laudos                 | O
 trg_validar_parcelas                               | contratos_planos       | O
 trg_validar_status_avaliacao                       | avaliacoes             | O
 trg_validar_transicao_status                       | entidades              | O
 trg_validar_transicao_status_lote                  | lotes_avaliacao        | O
 trg_validate_funcionario_clinica_empresa           | funcionarios_clinicas  | O
 trg_validate_funcionario_entidade_tipo             | funcionarios_entidades | O
 trigger_atualizar_timestamp_configuracoes          | clinica_configuracoes  | O
 trigger_garantir_template_padrao_unico             | templates_contrato     | O
 trigger_prevent_avaliacao_mutation_during_emission | avaliacoes             | O
 trigger_prevent_lote_mutation_during_emission      | lotes_avaliacao        | O
 trigger_registrar_inativacao                       | funcionarios           | O
 trigger_resposta_immutability                      | respostas              | O
 trigger_resultado_immutability                     | resultados             | O
(52 linhas)

