C:\apps\QWork\components\AccountInfoContent.tsx: line 261, col 41, Warning - Arrow function has too many lines (68). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\CheckoutAsaas.tsx: line 108, col 28, Warning - Async arrow function has too many lines (53). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\CheckoutAsaas.tsx: line 573, col 1, Warning - File has too many lines (556). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\DetalhesFuncionario.tsx: line 302, col 40, Warning - Arrow function has too many lines (65). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\FlowStepsExplainer.tsx: line 119, col 24, Warning - Arrow function has too many lines (72). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\LaudosSection.tsx: line 130, col 23, Warning - Arrow function has too many lines (70). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\NotificationCenterClinica.tsx: line 36, col 13, Warning - Arrow function has too many lines (65). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\NotificationHub.tsx: line 214, col 35, Warning - Arrow function has too many lines (65). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\PaymentSimulator.tsx: line 252, col 6, Warning - React Hook useCallback has missing dependencies: 'setError', 'setLoading', 'setMetodoSelecionado', 'setOpcaoSelecionada', 'setSimulacao', 'setTomadorInfo', and 'setValorCalculado'. Either include them or remove the dependency array. (react-hooks/exhaustive-deps)
C:\apps\QWork\components\admin\AuditoriasContent.tsx: line 65, col 32, Warning - Async arrow function has a complexity of 23. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\ClinicaDetailsPanel.tsx: line 172, col 31, Warning - Arrow function has too many lines (59). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\ClinicasContent.tsx: line 232, col 25, Warning - Arrow function has too many lines (96). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\ComissoesContent.tsx: line 457, col 30, Warning - Arrow function has too many lines (105). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\EntidadesContent.tsx: line 148, col 26, Warning - Arrow function has too many lines (173). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\ModalCriarClinica.tsx: line 61, col 24, Warning - Async arrow function has too many lines (72). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\ModalCriarClinica.tsx: line 61, col 24, Warning - Async arrow function has a complexity of 18. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\ModalEmissor.tsx: line 50, col 24, Warning - Async arrow function has too many lines (56). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\NotificacoesFinanceiras.tsx: line 74, col 23, Warning - Arrow function has too many lines (68). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TabelaContratosSection.tsx: line 121, col 28, Warning - Arrow function has too many lines (185). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TabelaContratosSection.tsx: line 121, col 28, Warning - Arrow function has a complexity of 18. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 140, col 35, Warning - Async arrow function has too many lines (54). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 213, col 39, Warning - Async arrow function has too many lines (54). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 360, col 35, Warning - Arrow function has too many lines (134). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 360, col 35, Warning - Arrow function has a complexity of 16. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 518, col 39, Warning - Arrow function has too many lines (74). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\auditorias\LaudoDetalheDrawer.tsx: line 152, col 3, Warning - Function 'gerarPDF' has too many lines (203). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\auditorias\LaudoDetalheDrawer.tsx: line 152, col 3, Warning - Function 'gerarPDF' has a complexity of 18. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\clinicas\ClinicaCard.tsx: line 235, col 35, Warning - Arrow function has too many lines (69). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\ParcelasAVencer.tsx: line 32, col 8, Warning - Function 'ParcelasAVencer' has too many lines (166). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\ParcelasAVencer.tsx: line 143, col 27, Warning - Arrow function has too many lines (58). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 122, col 1, Warning - Function 'ParcelasDetalheSection' has too many lines (81). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 206, col 1, Warning - Function 'StatusActions' has too many lines (148). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 206, col 1, Warning - Function 'StatusActions' has a complexity of 20. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 365, col 1, Warning - Function 'ComissaoSection' has too many lines (172). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 365, col 1, Warning - Function 'ComissaoSection' has a complexity of 18. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 531, col 1, Warning - File has too many lines (575). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 548, col 8, Warning - Function 'SolicitacaoCard' has too many lines (59). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\usePagamentosAdmin.ts: line 6, col 8, Warning - Function 'usePagamentosAdmin' has too many lines (320). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\usePagamentosAdmin.ts: line 246, col 31, Warning - Async arrow function has too many lines (78). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\usePagamentosAdmin.ts: line 246, col 31, Warning - Async arrow function has a complexity of 17. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\clinica\EmpresaFormModal.tsx: line 560, col 1, Warning - File has too many lines (501). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\clinica\EmpresasSection.tsx: line 258, col 31, Warning - Arrow function has too many lines (79). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\emissor\LoteAcoes.tsx: line 173, col 8, Warning - Function 'useLoteAcoes' has too many lines (52). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\DesligarFuncionarioModal.tsx: line 61, col 24, Warning - Async arrow function has too many lines (56). Maximum allowed is 50. (max-lines-per-function)
