C:\apps\QWork\components\AccountInfoContent.tsx: line 261, col 41, Warning - Arrow function has too many lines (68). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\CheckoutAsaas.tsx: line 41, col 16, Warning - Function 'CheckoutAsaas' has too many lines (522). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\CheckoutAsaas.tsx: line 41, col 16, Warning - Function 'CheckoutAsaas' has a complexity of 24. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\CheckoutAsaas.tsx: line 107, col 28, Warning - Async arrow function has too many lines (53). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\CheckoutAsaas.tsx: line 572, col 1, Warning - File has too many lines (556). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\DetalhesFuncionario.tsx: line 55, col 16, Warning - Function 'DetalhesFuncionario' has too many lines (326). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\DetalhesFuncionario.tsx: line 55, col 16, Warning - Function 'DetalhesFuncionario' has a complexity of 20. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\DetalhesFuncionario.tsx: line 301, col 40, Warning - Arrow function has too many lines (65). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\EditEmployeeModal.tsx: line 43, col 16, Warning - Function 'EditEmployeeModal' has too many lines (340). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\FlowStepsExplainer.tsx: line 119, col 24, Warning - Arrow function has too many lines (72). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\GerenciarEmpresas.tsx: line 20, col 16, Warning - Function 'GerenciarEmpresas' has too many lines (389). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\LaudosSection.tsx: line 19, col 16, Warning - Function 'LaudosSection' has too many lines (172). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\LaudosSection.tsx: line 129, col 23, Warning - Arrow function has too many lines (70). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\ModalConfirmacaoSolicitar.tsx: line 56, col 8, Warning - Function 'ModalConfirmacaoSolicitar' has too many lines (160). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\ModalInativarAvaliacao.tsx: line 16, col 16, Warning - Function 'ModalInativarAvaliacao' has too many lines (160). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\ModalInserirFuncionario.tsx: line 33, col 16, Warning - Function 'ModalInserirFuncionario' has too many lines (400). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\ModalResetarAvaliacao.tsx: line 18, col 16, Warning - Function 'ModalResetarAvaliacao' has too many lines (131). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\ModalSetorRelatorioPDF.tsx: line 13, col 16, Warning - Function 'ModalSetorRelatorioPDF' has too many lines (109). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\NotificationCenterClinica.tsx: line 36, col 13, Warning - Arrow function has too many lines (65). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\NotificationHub.tsx: line 214, col 35, Warning - Arrow function has too many lines (65). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\PaymentSimulator.tsx: line 252, col 6, Warning - React Hook useCallback has missing dependencies: 'setError', 'setLoading', 'setMetodoSelecionado', 'setOpcaoSelecionada', 'setSimulacao', 'setTomadorInfo', and 'setValorCalculado'. Either include them or remove the dependency array. (react-hooks/exhaustive-deps)
C:\apps\QWork\components\admin\AuditoriasContent.tsx: line 65, col 32, Warning - Async arrow function has a complexity of 23. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\ClinicaDetailsPanel.tsx: line 172, col 31, Warning - Arrow function has too many lines (59). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\ClinicasContent.tsx: line 232, col 25, Warning - Arrow function has too many lines (96). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\ComissoesContent.tsx: line 457, col 30, Warning - Arrow function has too many lines (105). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\EntidadesContent.tsx: line 148, col 26, Warning - Arrow function has too many lines (173). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\ModalCriarClinica.tsx: line 61, col 24, Warning - Async arrow function has too many lines (72). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\ModalCriarClinica.tsx: line 61, col 24, Warning - Async arrow function has a complexity of 18. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\ModalEmissor.tsx: line 50, col 24, Warning - Async arrow function has too many lines (56). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\NotificacoesFinanceiras.tsx: line 74, col 23, Warning - Arrow function has too many lines (68). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TabelaContratosSection.tsx: line 121, col 28, Warning - Arrow function has too many lines (185). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TabelaContratosSection.tsx: line 121, col 28, Warning - Arrow function has a complexity of 18. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 140, col 35, Warning - Async arrow function has too many lines (54). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 213, col 39, Warning - Async arrow function has too many lines (54). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 360, col 35, Warning - Arrow function has too many lines (134). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 360, col 35, Warning - Arrow function has a complexity of 16. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\TomadoresContent.tsx: line 518, col 39, Warning - Arrow function has too many lines (74). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\auditorias\LaudoDetalheDrawer.tsx: line 152, col 3, Warning - Function 'gerarPDF' has too many lines (203). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\auditorias\LaudoDetalheDrawer.tsx: line 152, col 3, Warning - Function 'gerarPDF' has a complexity of 18. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\clinicas\ClinicaCard.tsx: line 235, col 35, Warning - Arrow function has too many lines (69). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\ParcelasAVencer.tsx: line 32, col 8, Warning - Function 'ParcelasAVencer' has too many lines (166). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\ParcelasAVencer.tsx: line 143, col 27, Warning - Arrow function has too many lines (58). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 122, col 1, Warning - Function 'ParcelasDetalheSection' has too many lines (81). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 206, col 1, Warning - Function 'StatusActions' has too many lines (148). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 206, col 1, Warning - Function 'StatusActions' has a complexity of 20. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 365, col 1, Warning - Function 'ComissaoSection' has too many lines (172). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 365, col 1, Warning - Function 'ComissaoSection' has a complexity of 18. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 531, col 1, Warning - File has too many lines (575). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\admin\pagamentos\SolicitacaoCard.tsx: line 548, col 8, Warning - Function 'SolicitacaoCard' has too many lines (59). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\usePagamentosAdmin.ts: line 6, col 8, Warning - Function 'usePagamentosAdmin' has too many lines (320). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\usePagamentosAdmin.ts: line 246, col 31, Warning - Async arrow function has too many lines (78). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\admin\pagamentos\usePagamentosAdmin.ts: line 246, col 31, Warning - Async arrow function has a complexity of 17. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\avaliacao\CompletionModal.tsx: line 8, col 16, Warning - Function 'CompletionModal' has too many lines (57). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\avaliacao\QuestionModal.tsx: line 52, col 16, Warning - Function 'QuestionModal' has too many lines (118). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\checkout\BoletoScreen.tsx: line 39, col 8, Warning - Function 'BoletoScreen' has too many lines (65). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\checkout\CreditCardScreen.tsx: line 12, col 8, Warning - Function 'CreditCardScreen' has too many lines (76). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\checkout\PaymentSelector.tsx: line 41, col 8, Warning - Function 'PaymentSelector' has too many lines (69). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\checkout\PixScreen.tsx: line 13, col 8, Warning - Function 'PixScreen' has too many lines (58). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\checkout\useCheckoutAsaas.ts: line 17, col 8, Warning - Function 'useCheckoutAsaas' has too many lines (161). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\clinica\ContaSection.tsx: line 38, col 16, Warning - Function 'ContaSection' has too many lines (308). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\clinica\ContaSection.tsx: line 38, col 16, Warning - Function 'ContaSection' has a complexity of 19. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\clinica\EmpresaFormModal.tsx: line 57, col 16, Warning - Function 'EmpresaFormModal' has too many lines (452). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\clinica\EmpresaFormModal.tsx: line 57, col 16, Warning - Function 'EmpresaFormModal' has a complexity of 18. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\clinica\EmpresaFormModal.tsx: line 559, col 1, Warning - File has too many lines (501). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\clinica\EmpresasSection.tsx: line 36, col 16, Warning - Function 'EmpresasSection' has too many lines (294). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\clinica\EmpresasSection.tsx: line 257, col 31, Warning - Arrow function has too many lines (79). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\clinica\ImportEmpresasModal.tsx: line 46, col 16, Warning - Function 'ImportEmpresasModal' has too many lines (377). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\clinica\LaudosSection.tsx: line 20, col 16, Warning - Function 'LaudosSection' has too many lines (176). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\common\SkeletonCard.tsx: line 8, col 16, Warning - Function 'SkeletonCard' has too many lines (54). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\emissor\LoteAcoes.tsx: line 23, col 8, Warning - Function 'LoteAcoes' has too many lines (133). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\emissor\LoteAcoes.tsx: line 172, col 8, Warning - Function 'useLoteAcoes' has too many lines (52). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\emissor\PreviewLaudoCard.tsx: line 18, col 8, Warning - Function 'PreviewLaudoCard' has too many lines (94). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\emissor\StatusLoteBadge.tsx: line 13, col 8, Warning - Function 'StatusLoteBadge' has too many lines (76). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\entidade\ContaSection.tsx: line 34, col 16, Warning - Function 'EntidadeContaSection' has too many lines (302). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\entidade\ContaSection.tsx: line 34, col 16, Warning - Function 'EntidadeContaSection' has a complexity of 19. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\entidade\NotificationCenterGestor.tsx: line 24, col 16, Warning - Function 'NotificationCenterGestor' has too many lines (162). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\forms\TomadorFormFields.tsx: line 31, col 8, Warning - Function 'tomadorFormFields' has too many lines (184). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\forms\TomadorFormFields.tsx: line 31, col 8, Warning - Function 'tomadorFormFields' has a complexity of 20. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\funcionarios\DesligarFuncionarioModal.tsx: line 22, col 16, Warning - Function 'DesligarFuncionarioModal' has too many lines (226). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\DesligarFuncionarioModal.tsx: line 60, col 24, Warning - Async arrow function has too many lines (56). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\FuncionarioRow.tsx: line 27, col 16, Warning - Function 'FuncionarioRow' has too many lines (71). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\FuncionarioRow.tsx: line 103, col 1, Warning - Function 'UltimaAvaliacaoCell' has too many lines (109). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\FuncionarioRow.tsx: line 103, col 1, Warning - Function 'UltimaAvaliacaoCell' has a complexity of 31. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\funcionarios\FuncionariosSection.tsx: line 14, col 16, Warning - Function 'FuncionariosSection' has too many lines (395). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\FuncionariosSection.tsx: line 14, col 16, Warning - Function 'FuncionariosSection' has a complexity of 19. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\funcionarios\ImportXlsxModal.tsx: line 44, col 16, Warning - Function 'ImportXlsxModal' has too many lines (280). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\ImportXlsxModal.tsx: line 71, col 20, Warning - Async arrow function has too many lines (62). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\ImportXlsxModal.tsx: line 71, col 20, Warning - Async arrow function has a complexity of 22. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\funcionarios\ModalAdicionarFuncionarioEntidade.tsx: line 26, col 16, Warning - Function 'ModalAdicionarFuncionarioEntidade' has too many lines (369). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\components\FuncionarioRow.tsx: line 13, col 16, Warning - Function 'FuncionarioRow' has too many lines (165). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\components\FuncionarioRow.tsx: line 13, col 16, Warning - Function 'FuncionarioRow' has a complexity of 32. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\funcionarios\useFuncionarios.ts: line 21, col 8, Warning - Function 'useFuncionarios' has too many lines (176). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\importacao\ColumnMapper.tsx: line 47, col 16, Warning - Function 'ColumnMapper' has too many lines (229). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\importacao\ColumnMapper.tsx: line 167, col 26, Warning - Arrow function has too many lines (71). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\importacao\DataPreview.tsx: line 79, col 16, Warning - Function 'DataPreview' has too many lines (263). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\importacao\ImportResult.tsx: line 68, col 16, Warning - Function 'ImportResult' has too many lines (209). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\importacao\ImportResult.tsx: line 68, col 16, Warning - Function 'ImportResult' has a complexity of 22. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\importacao\NivelCargoModal.tsx: line 21, col 16, Warning - Function 'NivelCargoModal' has too many lines (165). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\importacao\TemplateManager.tsx: line 65, col 8, Warning - Function 'SaveTemplateForm' has too many lines (53). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\importacao\TemplateManager.tsx: line 126, col 8, Warning - Function 'TemplatePicker' has too many lines (93). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\importacao\UploadArea.tsx: line 14, col 16, Warning - Function 'UploadArea' has too many lines (138). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\FiltroColuna.tsx: line 17, col 16, Warning - Function 'FiltroColuna' has too many lines (113). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\FuncionariosTable.tsx: line 23, col 16, Warning - Function 'FuncionariosTable' has too many lines (310). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\FuncionariosTable.tsx: line 137, col 41, Warning - Arrow function has too many lines (190). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\FuncionariosTable.tsx: line 137, col 41, Warning - Arrow function has a complexity of 39. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 76, col 16, Warning - Function 'LoteDetailPage' has too many lines (947). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 76, col 16, Warning - Function 'LoteDetailPage' has a complexity of 64. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 130, col 5, Warning - Async arrow function has too many lines (78). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 130, col 5, Warning - Async arrow function has a complexity of 21. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 300, col 43, Warning - Async arrow function has too many lines (55). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 576, col 1, Warning - File has too many lines (1010). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\lote\LoteStatCards.tsx: line 10, col 16, Warning - Function 'LoteStatCards' has too many lines (66). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\AdminConfirmDeleteModal.tsx: line 18, col 16, Warning - Function 'AdminConfirmDeleteModal' has too many lines (112). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ConfirmDeleteModal.tsx: line 19, col 16, Warning - Function 'ConfirmDeleteModal' has too many lines (163). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\LiberarLoteModal.tsx: line 48, col 8, Warning - Function 'LiberarLoteModal' has too many lines (499). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\LiberarLoteModal.tsx: line 48, col 8, Warning - Function 'LiberarLoteModal' has a complexity of 42. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\modals\LiberarLoteModal.tsx: line 129, col 24, Warning - Async arrow function has a complexity of 16. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\modals\LiberarLoteModal.tsx: line 554, col 1, Warning - File has too many lines (538). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\modals\ModalCadastroEmissor.tsx: line 19, col 8, Warning - Function 'ModalCadastroEmissor' has too many lines (256). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalCadastroEmissor.tsx: line 46, col 24, Warning - Async arrow function has too many lines (75). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalCadastroTomadorSteps\ConfirmacaoStep.tsx: line 41, col 16, Warning - Function 'ConfirmacaoStep' has too many lines (151). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalCadastroTomadorSteps\DadosStep.tsx: line 33, col 16, Warning - Function 'DadosStep' has too many lines (222). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalCadastroTomadorSteps\ResponsavelStep.tsx: line 28, col 16, Warning - Function 'ResponsavelStep' has too many lines (120). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalCadastroTomadorSteps\TipoStep.tsx: line 11, col 8, Warning - Function 'TipoStep' has too many lines (69). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalCadastrotomador.tsx: line 48, col 16, Warning - Function 'ModalCadastroTomador' has too many lines (401). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalCadastrotomador.tsx: line 48, col 16, Warning - Function 'ModalCadastroTomador' has a complexity of 40. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\modals\ModalConfirmacaoIdentidade.tsx: line 16, col 16, Warning - Function 'ModalConfirmacaoIdentidade' has too many lines (206). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalConteudoTermo.tsx: line 16, col 16, Warning - Function 'ModalConteudoTermo' has too many lines (78). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalContrato.tsx: line 32, col 16, Warning - Function 'ModalContrato' has too many lines (315). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalContrato.tsx: line 32, col 16, Warning - Function 'ModalContrato' has a complexity of 17. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\modals\ModalContrato.tsx: line 282, col 26, Warning - Arrow function has too many lines (79). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalLinkPagamentoEmissao.tsx: line 27, col 16, Warning - Function 'ModalLinkPagamentoEmissao' has too many lines (276). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalPagamento.tsx: line 24, col 16, Warning - Function 'ModalPagamento' has too many lines (80). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalTermosAceite.tsx: line 13, col 16, Warning - Function 'ModalTermosAceite' has too many lines (120). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalTermosRepresentante.tsx: line 62, col 1, Warning - Function 'SubModalLeitura' has too many lines (94). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalTermosRepresentante.tsx: line 176, col 16, Warning - Function 'ModalTermosRepresentante' has too many lines (172). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalTermosVendedor.tsx: line 61, col 1, Warning - Function 'DocViewer' has too many lines (62). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalTermosVendedor.tsx: line 127, col 16, Warning - Function 'ModalTermosVendedor' has too many lines (130). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalVerContrato.tsx: line 22, col 16, Warning - Function 'ModalVerContrato' has too many lines (77). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalVerPagamento.tsx: line 25, col 16, Warning - Function 'ModalVerPagamento' has too many lines (181). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\liberar-lote\LoteForm.tsx: line 32, col 8, Warning - Function 'LoteForm' has too many lines (238). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\payments\ParcelasTable.tsx: line 30, col 16, Warning - Function 'ParcelasTable' has too many lines (142). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\payments\ParcelasTable.tsx: line 108, col 25, Warning - Arrow function has too many lines (67). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\payments\PaymentItem.tsx: line 46, col 16, Warning - Function 'PaymentItem' has too many lines (142). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\payments\PaymentItem.tsx: line 46, col 16, Warning - Function 'PaymentItem' has a complexity of 20. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\payments\PaymentSummaryCard.tsx: line 11, col 16, Warning - Function 'PaymentSummaryCard' has too many lines (53). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\pdf\LaudoDownloadClient.tsx: line 20, col 8, Warning - Function 'LaudoDownloadClient' has too many lines (141). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\pdf\LaudoDownloadClient.tsx: line 29, col 20, Warning - Async arrow function has too many lines (72). Maximum allowed is 50. (max-lines-per-function)
