          table_name           |                column_name                |          data_type          | is_nullable |                 column_default                  
-------------------------------+-------------------------------------------+-----------------------------+-------------+-------------------------------------------------
 clinicas                      | id                                        | integer                     | NO          | nextval('seq_contratantes_id'::regclass)
 clinicas                      | nome                                      | character varying           | NO          | 
 clinicas                      | cnpj                                      | character varying           | NO          | 
 clinicas                      | inscricao_estadual                        | character varying           | YES         | 
 clinicas                      | email                                     | character varying           | NO          | 
 clinicas                      | telefone                                  | character varying           | NO          | 
 clinicas                      | endereco                                  | text                        | NO          | 
 clinicas                      | cidade                                    | character varying           | NO          | 
 clinicas                      | estado                                    | character varying           | NO          | 
 clinicas                      | cep                                       | character varying           | NO          | 
 clinicas                      | responsavel_nome                          | character varying           | NO          | 
 clinicas                      | responsavel_cpf                           | character varying           | NO          | 
 clinicas                      | responsavel_cargo                         | character varying           | YES         | 
 clinicas                      | responsavel_email                         | character varying           | NO          | 
 clinicas                      | responsavel_celular                       | character varying           | NO          | 
 clinicas                      | cartao_cnpj_path                          | character varying           | YES         | 
 clinicas                      | contrato_social_path                      | character varying           | YES         | 
 clinicas                      | doc_identificacao_path                    | character varying           | YES         | 
 clinicas                      | status                                    | USER-DEFINED                | YES         | 'pendente'::status_aprovacao_enum
 clinicas                      | motivo_rejeicao                           | text                        | YES         | 
 clinicas                      | observacoes_reanalise                     | text                        | YES         | 
 clinicas                      | ativa                                     | boolean                     | NO          | true
 clinicas                      | criado_em                                 | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 clinicas                      | atualizado_em                             | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 clinicas                      | aprovado_em                               | timestamp without time zone | YES         | 
 clinicas                      | aprovado_por_cpf                          | character varying           | YES         | 
 clinicas                      | data_primeiro_pagamento                   | timestamp without time zone | YES         | 
 clinicas                      | contrato_aceito                           | boolean                     | YES         | false
 clinicas                      | tipo                                      | character varying           | YES         | 'clinica'::character varying
 clinicas                      | cartao_cnpj_arquivo_remoto_provider       | character varying           | YES         | 
 clinicas                      | cartao_cnpj_arquivo_remoto_bucket         | character varying           | YES         | 
 clinicas                      | cartao_cnpj_arquivo_remoto_key            | character varying           | YES         | 
 clinicas                      | cartao_cnpj_arquivo_remoto_url            | text                        | YES         | 
 clinicas                      | contrato_social_arquivo_remoto_provider   | character varying           | YES         | 
 clinicas                      | contrato_social_arquivo_remoto_bucket     | character varying           | YES         | 
 clinicas                      | contrato_social_arquivo_remoto_key        | character varying           | YES         | 
 clinicas                      | contrato_social_arquivo_remoto_url        | text                        | YES         | 
 clinicas                      | doc_identificacao_arquivo_remoto_provider | character varying           | YES         | 
 clinicas                      | doc_identificacao_arquivo_remoto_bucket   | character varying           | YES         | 
 clinicas                      | doc_identificacao_arquivo_remoto_key      | character varying           | YES         | 
 clinicas                      | doc_identificacao_arquivo_remoto_url      | text                        | YES         | 
 clinicas                      | entidade_id                               | integer                     | YES         | 
 clinicas                      | numero_funcionarios_estimado              | integer                     | YES         | 
 clinicas                      | credito_manutencao_pendente               | numeric                     | NO          | 0.00
 entidades                     | id                                        | integer                     | NO          | nextval('seq_contratantes_id'::regclass)
 entidades                     | nome                                      | character varying           | NO          | 
 entidades                     | cnpj                                      | character varying           | NO          | 
 entidades                     | inscricao_estadual                        | character varying           | YES         | 
 entidades                     | email                                     | character varying           | NO          | 
 entidades                     | telefone                                  | character varying           | NO          | 
 entidades                     | endereco                                  | text                        | NO          | 
 entidades                     | cidade                                    | character varying           | NO          | 
 entidades                     | estado                                    | character varying           | NO          | 
 entidades                     | cep                                       | character varying           | NO          | 
 entidades                     | responsavel_nome                          | character varying           | NO          | 
