           column_name           |          data_type          | is_nullable 
---------------------------------+-----------------------------+-------------
 id                              | integer                     | NO
 cpf                             | character                   | NO
 nome                            | character varying           | NO
 setor                           | character varying           | YES
 funcao                          | character varying           | YES
 email                           | character varying           | YES
 senha_hash                      | text                        | NO
 perfil                          | character varying           | YES
 ativo                           | boolean                     | YES
 criado_em                       | timestamp without time zone | YES
 atualizado_em                   | timestamp without time zone | YES
 clinica_id                      | integer                     | YES
 empresa_id                      | integer                     | YES
 matricula                       | character varying           | YES
 turno                           | character varying           | YES
 escala                          | character varying           | YES
 nivel_cargo                     | USER-DEFINED                | YES
 data_nascimento                 | date                        | YES
 incluido_em                     | timestamp without time zone | YES
 inativado_em                    | timestamp without time zone | YES
 inativado_por                   | character varying           | YES
 data_admissao                   | date                        | YES
 ultima_avaliacao_id             | integer                     | YES
 ultimo_lote_codigo              | character varying           | YES
 ultima_avaliacao_data_conclusao | timestamp without time zone | YES
 ultima_avaliacao_status         | character varying           | YES
 ultimo_motivo_inativacao        | text                        | YES
 indice_avaliacao                | integer                     | NO
 data_ultimo_lote                | timestamp without time zone | YES
 contratante_id                  | integer                     | YES
 usuario_tipo                    | USER-DEFINED                | NO
(31 linhas)

